                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3785,                0.95243,                 1.3153,                0.65464,                0.82273,                0.77966,                0.42567,                 1.4112,                0.96593,                 1.3886,             0.00075698,             0.00075698,             0.00075698
                     35,                 1.3812,                0.93552,                 1.3091,                0.67499,                0.90925,                0.80379,                0.44792,                 1.4167,                 1.0115,                 1.4179,             0.00074347,             0.00074347,             0.00074347
                     36,                 1.3634,                0.93671,                 1.3028,                0.73983,                0.72724,                0.79349,                0.44702,                 1.4285,                0.92973,                 1.3954,             0.00072973,             0.00072973,             0.00072973
                     37,                 1.3528,                0.92525,                 1.3065,                0.75639,                0.69445,                  0.811,                0.45213,                 1.4084,                0.94383,                 1.3949,             0.00071576,             0.00071576,             0.00071576
                     38,                 1.3556,                 0.9142,                 1.3059,                0.71078,                0.73503,                0.77922,                0.44742,                 1.3823,                0.89279,                 1.3715,             0.00070159,             0.00070159,             0.00070159
                     39,                 1.3468,                0.90583,                 1.2952,                0.65577,                0.87998,                 0.7923,                0.43975,                 1.5307,                0.94361,                 1.4473,             0.00068722,             0.00068722,             0.00068722
                     40,                 1.3492,                0.89385,                 1.3003,                0.69808,                0.75789,                0.78174,                0.44025,                 1.4361,                0.96063,                 1.4155,             0.00067268,             0.00067268,             0.00067268
                     41,                  1.345,                0.89521,                 1.2934,                0.65087,                0.80602,                0.79306,                0.45578,                 1.4299,                0.89298,                 1.3887,             0.00065796,             0.00065796,             0.00065796
                     42,                 1.3243,                0.88233,                 1.2816,                0.74491,                0.69579,                0.79122,                0.45818,                    1.4,                0.89361,                  1.367,              0.0006431,              0.0006431,              0.0006431
                     43,                 1.3304,                0.87365,                 1.2823,                0.58956,                0.86718,                0.78316,                0.44026,                 1.5279,                0.95206,                 1.4263,              0.0006281,              0.0006281,              0.0006281
                     44,                  1.317,                0.86623,                 1.2836,                0.66478,                0.90888,                0.80579,                0.44821,                 1.4881,                0.92548,                 1.4412,             0.00061298,             0.00061298,             0.00061298
                     45,                 1.3258,                0.87471,                 1.2865,                0.62516,                0.88843,                0.76775,                0.44993,                 1.4652,                 1.0186,                 1.4155,             0.00059775,             0.00059775,             0.00059775
                     46,                 1.3172,                0.86506,                  1.275,                 0.6441,                  0.842,                0.80078,                0.45616,                 1.5188,                0.89542,                 1.4323,             0.00058244,             0.00058244,             0.00058244
                     47,                 1.3035,                0.85082,                 1.2705,                0.69356,                0.72304,                0.78373,                 0.4433,                 1.5033,                0.93153,                  1.473,             0.00056704,             0.00056704,             0.00056704
                     48,                 1.3045,                0.85626,                   1.27,                0.66305,                0.81131,                0.78994,                0.46427,                 1.3693,                0.91392,                 1.3493,             0.00055158,             0.00055158,             0.00055158
                     49,                 1.3077,                0.84745,                 1.2748,                0.65164,                0.83259,                0.79136,                0.45899,                 1.4093,                0.86571,                 1.3585,             0.00053608,             0.00053608,             0.00053608
                     50,                 1.2896,                0.84673,                 1.2645,                0.64646,                0.77157,                0.78532,                0.45838,                 1.3212,                0.85711,                 1.3347,             0.00052055,             0.00052055,             0.00052055
                     51,                 1.2831,                0.83115,                 1.2588,                0.62444,                0.89878,                 0.7962,                0.45635,                 1.5004,                0.89493,                  1.413,               0.000505,               0.000505,               0.000505
                     52,                 1.2738,                0.82798,                 1.2524,                0.68836,                0.74821,                0.76981,                 0.4561,                 1.3998,                0.98798,                 1.3539,             0.00048945,             0.00048945,             0.00048945
                     53,                 1.2867,                0.82381,                 1.2557,                0.74885,                0.74664,                0.79789,                0.46729,                 1.3837,                0.88861,                 1.3633,             0.00047392,             0.00047392,             0.00047392
                     54,                 1.2619,                0.82084,                 1.2484,                0.64329,                0.88032,                0.81344,                0.47084,                    1.4,                0.89727,                 1.3936,             0.00045842,             0.00045842,             0.00045842
                     55,                 1.2626,                0.81839,                 1.2459,                0.65042,                0.85657,                0.80498,                0.47933,                 1.3872,                0.88609,                 1.3638,             0.00044296,             0.00044296,             0.00044296
                     56,                  1.256,                0.79941,                 1.2424,                0.70029,                0.78468,                0.80127,                0.46052,                 1.4405,                0.86196,                 1.3832,             0.00042756,             0.00042756,             0.00042756
                     57,                 1.2546,                0.80584,                 1.2426,                0.76935,                0.73425,                0.80768,                0.47936,                 1.3652,                0.84656,                 1.3641,             0.00041225,             0.00041225,             0.00041225
                     58,                 1.2408,                0.78723,                 1.2408,                0.71994,                0.74989,                0.79893,                0.47315,                 1.4557,                0.90362,                 1.3798,             0.00039702,             0.00039702,             0.00039702
                     59,                 1.2458,                0.80916,                 1.2355,                 0.7447,                0.74117,                0.81249,                0.47672,                 1.4008,                0.87192,                 1.4012,              0.0003819,              0.0003819,              0.0003819
                     60,                  1.237,                0.79086,                 1.2318,                0.74923,                 0.7297,                0.79179,                0.46948,                 1.3937,                0.87306,                 1.3678,              0.0003669,              0.0003669,              0.0003669
                     61,                 1.2275,                0.78615,                 1.2271,                0.76842,                0.73977,                0.80819,                0.47606,                 1.4004,                 0.8761,                 1.3598,             0.00035204,             0.00035204,             0.00035204
                     62,                 1.2294,                0.78508,                 1.2378,                0.70925,                0.81319,                 0.8183,                0.48329,                 1.3955,                0.85447,                 1.3724,             0.00033732,             0.00033732,             0.00033732
                     63,                 1.2285,                0.77298,                 1.2215,                0.72766,                0.77923,                0.82533,                0.49408,                 1.3493,                0.82304,                 1.3345,             0.00032278,             0.00032278,             0.00032278
                     64,                 1.2162,                0.77089,                 1.2185,                0.74289,                0.77968,                0.83229,                0.50306,                 1.3358,                0.81782,                 1.3468,             0.00030841,             0.00030841,             0.00030841
                     65,                 1.2123,                0.76264,                 1.2162,                0.71793,                0.86454,                0.83899,                0.49795,                 1.3358,                0.79872,                 1.3411,             0.00029424,             0.00029424,             0.00029424
                     66,                 1.1956,                0.75777,                 1.2102,                0.78132,                0.72614,                0.82063,                0.49025,                 1.3542,                0.83399,                 1.3612,             0.00028027,             0.00028027,             0.00028027
                     67,                 1.2006,                 0.7518,                 1.2092,                0.72815,                 0.7741,                0.81331,                0.49418,                 1.3255,                0.84174,                 1.3363,             0.00026653,             0.00026653,             0.00026653
                     68,                 1.1936,                0.74532,                 1.2102,                0.70694,                0.80079,                0.81863,                0.48977,                 1.3467,                0.87963,                 1.3389,             0.00025302,             0.00025302,             0.00025302
                     69,                 1.1907,                0.73752,                 1.2053,                0.69008,                0.84587,                0.82433,                  0.489,                 1.3155,                0.82881,                 1.3177,             0.00023977,             0.00023977,             0.00023977
                     70,                 1.1834,                0.73153,                 1.1955,                0.78018,                0.73741,                0.80782,                0.48955,                 1.2734,                0.85428,                  1.297,             0.00022677,             0.00022677,             0.00022677
                     71,                 1.1865,                 0.7347,                 1.2034,                0.78287,                0.72684,                0.81833,                0.49419,                 1.3014,                0.80815,                 1.3008,             0.00021405,             0.00021405,             0.00021405
                     72,                 1.1726,                0.73417,                 1.1982,                0.71136,                0.81919,                0.81734,                0.48656,                  1.354,                0.82089,                 1.3276,             0.00020161,             0.00020161,             0.00020161
                     73,                 1.1681,                0.73108,                 1.1955,                0.70957,                0.78722,                0.81465,                0.49138,                  1.336,                0.82549,                 1.3339,             0.00018948,             0.00018948,             0.00018948
                     74,                 1.1736,                0.72671,                 1.1989,                0.73127,                0.77869,                 0.8233,                0.50087,                 1.3132,                0.82124,                 1.3232,             0.00017765,             0.00017765,             0.00017765
                     75,                 1.1584,                0.71177,                  1.188,                0.72517,                0.79274,                 0.8311,                0.50991,                 1.2548,                 0.8028,                 1.2889,             0.00016615,             0.00016615,             0.00016615
                     76,                 1.1633,                0.71771,                  1.191,                0.73455,                0.78215,                0.81327,                0.49891,                 1.2669,                0.82996,                 1.2926,             0.00015498,             0.00015498,             0.00015498
                     77,                 1.1443,                0.71062,                 1.1829,                0.72147,                 0.7848,                0.81246,                0.49331,                 1.2951,                0.85868,                 1.3035,             0.00014416,             0.00014416,             0.00014416
                     78,                 1.1464,                0.71105,                 1.1816,                0.79818,                0.71336,                0.82154,                0.49363,                 1.2871,                0.80453,                 1.3196,              0.0001337,              0.0001337,              0.0001337
                     79,                 1.1442,                0.70199,                 1.1784,                0.74153,                0.77629,                0.82454,                0.50556,                 1.2387,                0.79141,                 1.2949,              0.0001236,              0.0001236,              0.0001236
                     80,                 1.1401,                 0.7018,                 1.1788,                0.79542,                0.72597,                0.81805,                0.49441,                 1.2891,                0.82623,                 1.3191,             0.00011387,             0.00011387,             0.00011387
                     81,                 1.1482,                0.69998,                 1.1814,                0.77519,                0.72598,                0.80654,                0.48907,                 1.2581,                0.83523,                 1.2962,             0.00010454,             0.00010454,             0.00010454
                     82,                 1.1225,                 0.6911,                   1.17,                0.74397,                0.77581,                0.81841,                0.49733,                 1.2843,                 0.8068,                 1.3076,             9.5595e-05,             9.5595e-05,             9.5595e-05
                     83,                 1.1319,                0.68651,                 1.1725,                0.79297,                0.73729,                0.82191,                0.50906,                 1.2613,                0.79291,                 1.2918,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     84,                 1.1367,                0.70331,                 1.1851,                0.72878,                0.81039,                0.83369,                 0.5118,                 1.2787,                0.77156,                  1.299,             7.8933e-05,             7.8933e-05,             7.8933e-05
                     85,                 1.1233,                0.69294,                 1.1716,                0.72784,                0.80591,                0.83014,                 0.5029,                 1.3094,                0.79378,                 1.3058,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     86,                 1.1197,                0.68981,                 1.1746,                0.76319,                0.75677,                0.82544,                0.50635,                 1.2881,                0.81072,                 1.3046,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     87,                 1.1221,                0.68651,                 1.1703,                0.76063,                0.75524,                0.82193,                0.49995,                 1.2952,                 0.8311,                 1.3041,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     88,                 1.1133,                0.68191,                 1.1619,                  0.755,                0.74758,                0.82122,                0.50419,                 1.2787,                0.81526,                 1.3033,             5.0711e-05,             5.0711e-05,             5.0711e-05
                     89,                 1.1247,                0.68634,                 1.1749,                0.74689,                0.76329,                0.82657,                0.50247,                 1.2916,                0.80489,                 1.3149,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     90,                  1.117,                0.66941,                 1.1676,                0.74495,                0.77916,                0.83001,                0.50497,                 1.2946,                 0.7896,                 1.3186,             3.9264e-05,             3.9264e-05,             3.9264e-05
                     91,                 1.0668,                0.55594,                 1.1765,                0.72518,                0.81919,                0.82453,                0.48921,                 1.3047,                0.79549,                 1.3212,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     92,                 1.0523,                0.54726,                 1.1663,                0.72109,                0.82083,                0.82988,                0.49674,                 1.3041,                0.78071,                 1.3164,             2.9655e-05,             2.9655e-05,             2.9655e-05
                     93,                 1.0471,                0.54087,                 1.1672,                0.74246,                0.80654,                0.82908,                0.49523,                 1.3168,                0.78082,                 1.3231,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     94,                 1.0444,                0.53363,                 1.1702,                0.74222,                0.80832,                0.82718,                0.50156,                 1.2929,                0.78301,                 1.3176,             2.1921e-05,             2.1921e-05,             2.1921e-05
                     95,                 1.0345,                0.53431,                  1.157,                0.74035,                0.80309,                0.82546,                0.49536,                 1.3063,                0.78365,                 1.3216,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     96,                  1.044,                0.53471,                 1.1592,                0.73719,                0.81108,                0.82735,                0.49547,                 1.3047,                0.77889,                 1.3217,             1.6094e-05,             1.6094e-05,             1.6094e-05
                     97,                 1.0307,                0.52976,                 1.1585,                0.73722,                0.80585,                0.82728,                0.49616,                 1.3108,                0.78584,                 1.3224,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     98,                 1.0351,                0.53724,                 1.1663,                0.73871,                0.81106,                0.82894,                0.49941,                 1.3111,                0.77752,                 1.3194,             1.2197e-05,             1.2197e-05,             1.2197e-05
                     99,                 1.0288,                 0.5293,                 1.1534,                0.73381,                0.81643,                0.82578,                0.49608,                 1.3061,                0.77892,                 1.3208,             1.0977e-05,             1.0977e-05,             1.0977e-05
                    100,                 1.0316,                0.52802,                 1.1544,                0.74086,                0.81379,                0.82737,                0.49853,                  1.302,                0.77693,                 1.3214,             1.0244e-05,             1.0244e-05,             1.0244e-05
